date,cpi,policy_rate,neer,reer,fx_usd,fx_eur,reserves,oil_brent,output_gap
2005-01-01,71.4,3.5,107.16,109.16,548.9,667.4,16.7,56.5,0.79
2005-02-01,72.5,3.5,107.94,109.91,526.3,641.2,16.7,56.2,0.76
2005-03-01,72.2,3.75,107.88,109.83,518.2,644.8,17.5,60.3,0.8
2005-04-01,72.8,3.75,108.11,110.04,518.8,655.4,17.0,64.6,0.94
2005-05-01,73.6,4.0,108.19,110.09,512.8,622.1,17.2,61.0,1.12
2005-06-01,73.0,4.0,105.98,107.86,514.5,644.0,17.9,62.6,1.66
2005-07-01,72.7,4.0,105.89,107.74,517.4,648.4,16.2,69.8,1.28
2005-08-01,73.7,4.25,105.3,107.12,505.1,649.9,18.5,67.3,1.47
2005-09-01,74.3,4.25,105.82,107.62,518.5,653.0,17.7,63.6,1.57
2005-10-01,74.9,4.5,106.1,107.88,526.3,670.3,17.5,66.6,1.59
2005-11-01,74.1,4.5,106.25,108.0,506.0,643.5,17.8,63.6,1.61
2005-12-01,74.9,4.5,105.19,106.92,529.8,655.8,17.9,63.6,1.47
2006-01-01,74.9,4.75,104.76,106.46,517.8,665.8,16.8,65.7,2.01
2006-02-01,75.2,4.75,104.86,106.54,521.8,667.2,19.1,60.4,2.14
2006-03-01,76.3,4.75,103.87,105.52,502.7,646.3,18.2,62.1,1.57
2006-04-01,75.3,5.0,105.83,107.45,517.0,694.1,18.6,66.8,1.75
2006-05-01,76.1,5.0,102.78,104.38,495.3,617.1,19.0,66.6,1.95
2006-06-01,76.4,5.25,103.89,105.46,514.5,674.5,17.7,71.8,1.89
2006-07-01,76.8,5.25,105.03,106.58,505.5,647.2,18.8,69.3,2.22
2006-08-01,76.8,4.75,103.26,104.78,508.1,656.2,18.4,68.2,2.06
2006-09-01,77.1,4.5,102.86,104.35,488.6,629.3,19.3,77.4,2.64
2006-10-01,77.1,4.0,102.48,103.95,490.0,629.0,17.3,72.8,2.53
2006-11-01,77.6,3.75,102.36,103.81,504.1,647.0,18.8,74.2,2.41
2006-12-01,77.6,3.25,103.29,104.71,486.6,632.7,18.5,70.2,2.62
2007-01-01,78.2,3.0,100.33,101.73,499.8,635.5,19.3,73.4,2.7
2007-02-01,78.2,2.5,103.99,105.36,492.8,646.2,19.4,74.8,2.23
2007-03-01,78.8,2.0,102.59,103.94,528.0,683.2,18.7,70.5,2.02
2007-04-01,79.0,1.75,104.3,105.62,518.4,665.8,18.8,74.6,2.01
2007-05-01,79.7,1.25,105.01,106.31,549.1,712.5,19.3,71.2,1.99
2007-06-01,79.7,1.0,106.61,107.88,561.9,744.6,18.8,71.6,1.69
2007-07-01,79.5,0.5,105.79,107.04,560.2,728.5,20.1,70.2,1.22
2007-08-01,80.7,0.75,108.18,109.4,585.7,770.4,19.3,81.8,1.19
2007-09-01,80.4,1.0,110.2,111.39,594.4,773.9,17.7,80.3,1.15
2007-10-01,80.8,1.25,108.47,109.64,598.1,792.4,19.5,81.3,0.99
2007-11-01,81.2,1.5,110.48,111.62,605.3,802.4,19.1,91.2,1.19
2007-12-01,82.1,1.75,110.67,111.79,607.4,816.1,18.8,89.1,0.42
2008-01-01,81.3,2.0,112.32,113.42,643.6,848.2,19.1,97.6,0.59
2008-02-01,83.0,2.25,110.85,111.92,612.8,815.6,20.4,95.7,0.56
2008-03-01,82.3,2.5,109.18,110.23,619.3,820.4,21.5,102.3,0.49
2008-04-01,82.1,3.0,108.87,109.89,604.8,812.1,21.1,111.6,-0.2
2008-05-01,82.0,3.25,108.7,109.69,603.7,795.0,20.7,117.9,-0.24
2008-06-01,82.1,3.5,106.02,106.99,582.7,780.2,21.8,120.9,-0.44
2008-07-01,82.2,3.75,105.54,106.49,571.6,758.6,21.4,124.7,-0.71
2008-08-01,82.2,4.0,102.86,103.78,571.8,760.9,21.6,113.3,-0.98
2008-09-01,82.2,4.25,101.94,102.84,556.8,743.2,21.5,98.9,-1.09
2008-10-01,82.0,4.5,101.86,102.73,545.8,730.7,21.4,90.3,-1.83
2008-11-01,81.9,4.75,101.45,102.3,536.6,716.2,22.6,80.3,-1.46
2008-12-01,82.0,5.0,99.44,100.26,504.8,677.4,23.3,74.0,-1.77
2009-01-01,81.9,5.25,97.76,98.56,517.9,707.1,23.4,61.0,-2.04
2009-02-01,82.6,5.25,98.17,98.94,516.0,700.5,23.5,57.7,-1.34
2009-03-01,82.7,5.25,97.39,98.13,498.6,677.0,23.4,67.0,-1.54
2009-04-01,81.8,5.25,98.96,99.68,506.2,677.0,24.8,67.8,-1.2
2009-05-01,83.2,5.25,99.33,100.03,507.9,676.6,23.8,70.0,-0.48
2009-06-01,83.3,5.25,98.49,99.16,506.5,690.9,25.5,76.8,-0.69
2009-07-01,83.5,5.25,98.64,99.29,511.0,697.1,24.6,81.1,-0.35
2009-08-01,83.6,5.25,99.37,99.99,522.0,717.9,25.0,81.1,0.02
