date,fx_eur,fx_usd,reer,neer,policy_rate,cpi,reserves
2007-01-31,11.1074073,8.5745,104.5681374,100.6921186,3.25,85.75577558,20395.7082
2007-02-28,11.13885465,8.4315,104.0979985,100.6941727,3.25,85.50231023,20617.09067
2007-03-31,11.1704725,8.3875,103.9907115,100.8040211,3.25,85.84026403,21017.22802
2007-04-30,11.18562285,8.2217,104.5870292,100.8206386,3.25,86.68514851,21386.08804
2007-05-31,11.18697668,8.3156,102.8155936,100.5217867,3.25,85.67128713,21029.63105
2007-06-30,11.1834905,8.281,103.4413718,100.2909401,3.25,85.92475248,22409.00857
2007-07-31,11.22150969,8.1867,103.5687606,100.3840859,3.25,85.92475248,22863.91342
2007-08-31,11.26619525,8.2205,103.6831099,100.4910198,3.25,86.85412541,23898.54632
2007-09-30,11.28520789,7.9591,103.7486183,100.4469593,3.25,87.8679868,23823.54789
2007-10-31,11.31965791,7.8353,103.225623,100.3963031,3.25,88.12145215,24062.25671
2007-11-30,11.35755623,7.6943,102.7368,100.7174987,3.25,87.530033,24411.1875
2007-12-31,11.35460172,7.7132,102.8572047,100.7100859,3.25,87.6990099,24730.20277
2008-01-31,11.3739143,7.6489,102.4079304,100.6538754,3.25,87.530033,25689.83775
2008-02-29,11.39997221,7.5163,102.1454543,100.4975005,3.25,87.8679868,25725.15732
2008-03-31,11.47666584,7.2582,103.117423,101.3554708,3.25,88.79735974,26681.82194
2008-04-30,11.4461424,7.3656,104.0105848,101.6643753,3.25,89.55775578,26220.81025
2008-05-31,11.45219276,7.3847,103.9479096,101.5710554,3.25,90.14917492,26467.42589
2008-06-30,11.48612332,7.2863,103.7457199,101.5568224,3.5,89.72673267,27140.66124
2008-07-31,11.42787644,7.3204,103.7768861,101.6638205,3.5,89.89570957,26753.04628
2008-08-31,11.36702105,7.7143,102.7321305,100.9419041,3.5,90.40264026,26165.3034
2008-09-30,11.29422092,7.8964,102.6519863,101.0506513,3.5,90.99405941,24814.34578
2008-10-31,11.10803018,8.7074,102.1198046,100.658755,3.5,90.99405941,21834.07217
2008-11-30,11.05327223,8.6849,103.5634574,101.2631246,3.5,90.82508251,21421.77803
2008-12-31,11.27026494,8.0982,105.9725731,102.4511343,3.5,91.24752475,22785.7938
2009-01-31,11.06174592,8.6312,105.3807741,102.4278801,3.5,90.57161716,21659.39949
2009-02-28,11.08082228,8.7637,105.0556601,102.289068,3.5,90.74059406,21393.93179
2009-03-31,11.16700896,8.3912,106.2782968,103.3287683,3.25,91.24752475,22284.05949
2009-04-30,11.18432025,8.4251,106.2586716,102.6735806,3.25,91.75445545,21917.84074
2009-05-31,11.2776951,7.9995,104.3365474,102.5489403,3.25,90.31815182,22189.73396
2009-06-30,11.30380784,7.9976,103.5017068,102.5299372,3.25,89.21980198,21933.33
