date,cpi,policy_rate,neer,reer,fx_usd,fx_eur,reserves,oil_brent,output_gap
2005-01-01,80.3,3.0,110.08,112.08,3.314,4.185,13.8,56.5,1.59
2005-02-01,80.3,3.0,110.12,112.11,3.274,4.137,15.1,56.2,2.02
2005-03-01,80.7,3.0,110.65,112.62,3.286,4.079,15.2,60.3,1.87
2005-04-01,80.6,3.0,109.75,111.71,3.329,4.222,14.5,64.6,1.62
2005-05-01,81.1,3.25,109.3,111.25,3.31,4.153,12.7,61.0,2.28
2005-06-01,81.4,3.25,110.51,112.45,3.303,4.181,18.2,62.6,0.88
2005-07-01,81.3,3.25,110.67,112.59,3.262,4.086,16.9,69.8,2.68
2005-08-01,81.7,3.25,111.47,113.38,3.285,4.156,16.0,67.3,1.26
2005-09-01,82.0,3.25,109.91,111.81,3.26,4.136,14.5,63.6,1.75
2005-10-01,82.5,3.5,111.43,113.32,3.257,4.08,15.4,66.6,2.05
2005-11-01,82.2,3.5,112.24,114.11,3.269,4.17,15.1,63.6,2.07
2005-12-01,82.7,3.5,110.69,112.55,3.238,4.161,17.2,63.6,2.58
2006-01-01,83.6,3.5,110.23,112.08,3.29,4.184,16.3,65.7,1.83
2006-02-01,83.6,3.5,110.84,112.68,3.242,4.178,15.3,60.4,2.42
2006-03-01,83.9,3.75,111.17,113.0,3.258,4.155,15.8,62.1,2.15
2006-04-01,83.8,3.75,111.58,113.4,3.277,4.219,17.7,66.8,2.55
2006-05-01,84.1,3.75,110.98,112.78,3.261,4.106,18.4,66.6,2.47
2006-06-01,84.6,4.0,112.34,114.13,3.191,4.173,18.5,71.8,2.6
2006-07-01,85.0,4.0,110.84,112.61,3.237,4.208,17.8,69.3,2.41
2006-08-01,84.1,4.0,110.55,112.31,3.244,4.165,16.9,68.2,2.49
2006-09-01,84.6,4.25,112.32,114.07,3.241,4.113,13.7,77.4,2.86
2006-10-01,85.7,4.25,110.4,112.14,3.183,4.118,17.8,72.8,3.18
2006-11-01,85.4,4.25,111.71,113.44,3.191,4.078,17.7,74.2,2.64
2006-12-01,85.5,4.5,113.77,115.48,3.231,4.197,18.0,70.2,2.59
2007-01-01,85.6,4.5,111.99,113.69,3.18,4.136,18.1,73.4,3.24
2007-02-01,86.3,4.5,110.92,112.6,3.188,4.109,17.5,74.8,2.95
2007-03-01,86.6,4.5,111.13,112.81,3.234,4.242,20.6,70.5,3.24
2007-04-01,88.1,4.5,110.72,112.38,3.186,4.176,21.7,74.6,2.52
2007-05-01,88.0,4.75,110.43,112.08,3.164,4.159,22.8,71.2,2.13
2007-06-01,88.5,4.75,110.31,111.95,3.156,4.123,24.1,71.6,2.58
2007-07-01,89.2,4.75,108.88,110.51,3.184,4.12,24.7,70.2,2.45
2007-08-01,89.8,4.75,110.08,111.7,3.135,4.14,24.5,81.8,2.68
2007-09-01,90.3,4.75,108.81,110.41,3.16,4.138,25.9,80.3,2.42
2007-10-01,90.8,5.0,108.68,110.27,3.171,4.123,27.1,81.3,2.92
2007-11-01,90.8,5.0,107.46,109.03,3.193,4.246,28.1,91.2,2.47
2007-12-01,91.4,5.0,108.18,109.74,3.172,4.249,30.1,89.1,2.6
2008-01-01,92.2,5.0,106.85,108.4,3.131,4.131,30.7,97.6,2.56
2008-02-01,91.5,5.25,106.75,108.28,3.186,4.281,32.6,95.7,2.24
2008-03-01,91.3,5.5,105.61,107.14,3.15,4.172,33.0,102.3,1.82
2008-04-01,91.1,5.75,105.16,106.67,3.129,4.134,30.8,111.6,1.7
2008-05-01,90.9,6.0,105.74,107.24,3.162,4.175,26.7,117.9,0.85
2008-06-01,89.8,6.25,104.65,106.14,3.209,4.316,32.6,120.9,1.39
2008-07-01,90.2,6.5,103.99,105.47,3.179,4.203,30.9,124.7,0.41
2008-08-01,89.6,5.5,103.7,105.16,3.18,4.258,30.9,113.3,-0.35
2008-09-01,89.6,4.75,104.08,105.53,3.227,4.285,31.6,98.9,-0.09
2008-10-01,89.2,4.0,102.88,104.31,3.149,4.189,31.8,90.3,-0.84
2008-11-01,89.2,3.0,102.76,104.19,3.157,4.254,33.2,80.3,-0.57
2008-12-01,88.8,2.0,102.43,103.84,3.153,4.207,31.0,74.0,-0.29
2009-01-01,88.4,1.25,100.86,102.26,3.21,4.288,31.8,61.0,-1.81
2009-02-01,88.6,1.25,101.46,102.85,3.171,4.291,34.3,57.7,-0.79
2009-03-01,88.4,1.25,102.87,104.24,3.175,4.317,35.5,67.0,-1.03
2009-04-01,88.5,1.5,102.56,103.92,3.107,4.199,36.5,67.8,0.43
2009-05-01,88.9,1.5,103.96,105.31,3.056,4.094,35.8,70.0,0.48
2009-06-01,89.1,1.5,104.24,105.57,3.033,4.073,36.5,76.8,1.17
2009-07-01,88.9,1.5,104.43,105.75,3.003,4.057,37.9,81.1,1.57
2009-08-01,89.3,1.75,105.41,106.72,2.922,3.96,39.7,81.1,2.87
2009-09-01,89.3,2.0,104.62,105.91,3.006,4.036,42.0,76.1,3.56
2009-10-01,89.2,2.25,105.38,106.67,2.914,3.972,39.0,78.1,3.76
2009-11-01,90.1,2.5,104.99,106.26,2.872,3.9,41.9,80.3,3.99
2009-12-01,89.9,2.75,107.12,108.38,2.85,3.815,41.6,82.6,5.54
2010-01-01,90.6,3.0,107.18,108.42,2.819,3.804,42.2,78.6,5.2
2010-02-01,89.7,3.0,106.09,107.32,2.792,3.785,46.2,84.4,4.69
2010-03-01,90.3,3.25,106.4,107.62,2.775,3.781,46.9,86.7,5.76
2010-04-01,90.8,3.25,107.06,108.27,2.804,3.888,48.0,91.4,5.19
