date,cpi,policy_rate,neer,reer,fx_usd,fx_eur,reserves,oil_brent,output_gap
2005-01-01,67.7,7.5,117.63,120.63,2.867,3.615,16.5,56.5,2.17
2005-02-01,68.9,7.5,117.42,120.4,2.873,3.593,14.9,56.2,2.46
2005-03-01,69.6,7.75,117.87,120.83,2.855,3.638,16.3,60.3,2.39
2005-04-01,70.0,7.75,116.94,119.88,2.859,3.623,17.2,64.6,1.71
2005-05-01,71.0,8.0,116.57,119.49,2.86,3.583,18.6,61.0,2.44
2005-06-01,71.1,8.0,116.45,119.34,2.883,3.602,20.5,62.6,3.08
2005-07-01,71.0,8.0,117.06,119.93,2.84,3.597,18.8,69.8,2.64
2005-08-01,72.7,8.25,116.26,119.11,2.794,3.593,18.4,67.3,2.96
2005-09-01,72.4,8.25,115.91,118.74,2.867,3.536,20.3,63.6,2.86
2005-10-01,73.6,8.5,115.7,118.51,2.8,3.59,21.5,66.6,3.83
2005-11-01,74.5,8.5,116.14,118.93,2.815,3.549,21.1,63.6,3.95
2005-12-01,74.6,8.75,114.88,117.65,2.822,3.548,20.8,63.6,3.35
2006-01-01,74.4,8.75,115.65,118.4,2.806,3.608,22.8,65.7,3.79
2006-02-01,75.2,8.5,114.52,117.25,2.808,3.544,23.2,60.4,3.7
2006-03-01,76.7,8.5,113.75,116.46,2.764,3.516,22.5,62.1,4.22
2006-04-01,76.7,8.25,114.49,117.18,2.699,3.464,24.3,66.8,4.34
2006-05-01,77.4,8.25,112.14,114.81,2.765,3.531,25.5,66.6,4.57
2006-06-01,78.2,8.0,111.91,114.55,2.681,3.458,26.3,71.8,4.58
2006-07-01,78.8,8.0,110.89,113.51,2.646,3.453,25.9,69.3,5.48
2006-08-01,79.2,7.75,111.39,113.99,2.654,3.455,26.4,68.2,4.47
2006-09-01,79.6,7.5,111.17,113.75,2.607,3.481,28.3,77.4,4.42
2006-10-01,80.1,7.5,110.58,113.14,2.587,3.455,27.0,72.8,4.95
2006-11-01,81.2,7.25,109.77,112.31,2.625,3.422,29.0,74.2,4.75
2006-12-01,81.7,7.25,108.49,111.0,2.517,3.419,28.3,70.2,4.92
2007-01-01,81.9,7.0,107.82,110.32,2.49,3.387,30.8,73.4,5.21
2007-02-01,83.1,6.75,107.5,109.98,2.499,3.401,30.5,74.8,5.06
2007-03-01,83.3,6.75,109.68,112.13,2.524,3.398,32.3,70.5,4.89
2007-04-01,83.6,6.5,109.23,111.67,2.442,3.416,32.4,74.6,5.15
2007-05-01,84.3,6.5,109.09,111.5,2.425,3.415,31.7,71.2,4.69
2007-06-01,84.9,6.25,110.33,112.72,2.462,3.403,34.5,71.6,4.61
2007-07-01,85.9,6.0,109.52,111.89,2.426,3.382,35.2,70.2,4.76
2007-08-01,87.2,6.0,110.54,112.89,2.458,3.405,35.4,81.8,4.11
2007-09-01,87.0,5.75,110.58,112.91,2.482,3.385,34.7,80.3,4.09
2007-10-01,88.1,5.75,111.32,113.63,2.436,3.361,35.8,81.3,4.11
2007-11-01,88.4,5.5,111.3,113.59,2.416,3.374,36.8,91.2,3.27
2007-12-01,89.2,5.5,110.95,113.21,2.456,3.384,36.8,89.1,2.97
2008-01-01,89.4,5.25,112.04,114.28,2.476,3.4,39.3,97.6,3.6
2008-02-01,89.6,5.25,111.52,113.75,2.453,3.444,37.6,95.7,2.77
2008-03-01,89.3,5.25,109.99,112.19,2.583,3.49,34.9,102.3,2.35
2008-04-01,89.2,5.25,109.38,111.57,2.637,3.586,36.8,111.6,0.92
2008-05-01,88.8,5.25,107.48,109.64,2.695,3.656,35.7,117.9,0.24
2008-06-01,87.8,5.25,106.99,109.13,2.757,3.726,35.4,120.9,-0.93
2008-07-01,88.5,5.25,105.69,107.81,2.841,3.81,34.7,124.7,-1.66
2008-08-01,87.8,5.25,105.37,107.47,2.819,3.881,35.1,113.3,-2.14
2008-09-01,87.4,5.25,104.02,106.1,2.887,3.914,34.9,98.9,-4.12
2008-10-01,87.0,5.25,103.34,105.4,2.925,3.981,33.7,90.3,-4.25
2008-11-01,86.4,5.25,102.54,104.58,2.992,4.04,32.7,80.3,-4.63
2008-12-01,86.4,5.25,101.34,103.36,3.092,4.147,32.5,74.0,-6.04
2009-01-01,86.2,5.25,100.14,102.13,3.06,4.232,32.0,61.0,-6.52
2009-02-01,85.4,4.75,99.67,101.65,3.087,4.2,31.7,57.7,-6.72
2009-03-01,86.1,4.25,100.33,102.29,3.166,4.208,33.1,67.0,-6.09
2009-04-01,86.4,4.0,100.24,102.17,3.168,4.252,33.4,67.8,-5.62
2009-05-01,86.8,3.5,100.5,102.41,3.139,4.238,34.5,70.0,-5.81
2009-06-01,87.3,3.0,100.65,102.54,3.188,4.243,34.7,76.8,-5.05
2009-07-01,86.7,2.5,100.51,102.38,3.185,4.214,33.5,81.1,-4.57
2009-08-01,87.0,3.0,100.2,102.04,3.232,4.262,35.0,81.1,-3.55
2009-09-01,87.1,3.75,101.0,102.83,3.202,4.233,33.9,76.1,-3.08
2009-10-01,87.2,4.5,101.6,103.4,3.243,4.235,35.5,78.1,-2.78
2009-11-01,87.5,5.0,101.0,102.78,3.304,4.259,34.9,80.3,-2.18
2009-12-01,88.2,5.5,101.84,103.61,3.255,4.26,34.9,82.6,-2.01
2010-01-01,87.6,6.25,102.94,104.69,3.251,4.275,36.2,78.6,-1.15
2010-02-01,88.6,6.25,102.67,104.4,3.263,4.25,34.2,84.4,-1.21
2010-03-01,88.1,6.0,103.15,104.85,3.222,4.305,35.3,86.7,-0.9
2010-04-01,89.0,6.0,102.69,104.38,3.296,4.31,36.9,91.4,-0.7
2010-05-01,89.5,6.0,103.25,104.91,3.222,4.244,37.4,102.5,-0.13
2010-06-01,90.8,5.75,102.47,104.11,3.2,4.31,37.4,109.1,-0.16
2010-07-01,90.4,5.75,102.68,104.3,3.175,4.272,36.8,109.8,0.53
