date,cpi,policy_rate,neer,reer,fx_usd,fx_eur,reserves,oil_brent,output_gap
2005-01-01,54.3,13.5,144.17,151.38,1.34,1.48,53.4,56.5,1.71
2005-02-01,55.0,13.75,143.62,150.68,1.32,1.96,52.7,56.2,0.87
2005-03-01,57.8,14.25,145.49,152.52,1.61,1.85,50.0,60.3,1.59
2005-04-01,56.8,14.5,141.89,148.63,1.2,1.55,52.7,64.6,1.41
2005-05-01,58.0,14.75,145.51,152.3,1.2,1.65,54.8,61.0,2.18
2005-06-01,57.3,15.25,144.04,150.64,1.58,1.88,52.1,62.6,2.37
2005-07-01,57.9,15.5,143.98,150.45,1.23,1.71,55.3,69.8,1.13
2005-08-01,59.9,15.75,141.46,147.7,1.56,1.74,59.9,67.3,2.07
2005-09-01,58.6,16.25,141.46,147.59,1.73,2.45,62.8,63.6,2.64
2005-10-01,59.9,16.5,139.31,145.22,1.28,1.63,58.8,66.6,2.17
2005-11-01,60.9,16.75,140.12,145.96,1.52,1.82,62.8,63.6,2.64
2005-12-01,61.5,17.25,141.09,146.84,1.2,1.47,56.5,63.6,2.56
2006-01-01,61.9,17.5,141.76,147.42,1.54,2.11,64.3,65.7,2.64
2006-02-01,62.8,17.25,138.08,143.48,1.43,1.71,61.2,60.4,2.47
2006-03-01,63.6,17.25,138.67,143.98,1.49,1.76,65.1,62.1,2.15
2006-04-01,64.1,17.0,138.54,143.73,1.25,1.56,64.5,66.8,2.28
2006-05-01,63.2,16.75,136.44,141.44,1.2,1.33,69.5,66.6,3.13
2006-06-01,64.3,16.75,138.72,143.68,1.5,2.26,64.5,71.8,2.92
2006-07-01,66.0,16.5,136.52,141.29,1.2,1.44,69.4,69.3,2.94
2006-08-01,66.2,16.25,136.82,141.48,1.34,1.87,67.9,68.2,2.9
2006-09-01,64.9,16.25,136.05,140.58,1.61,2.11,69.1,77.4,3.04
2006-10-01,66.8,16.0,135.18,139.56,1.45,1.7,69.9,72.8,3.69
2006-11-01,65.4,15.75,135.82,140.11,1.83,2.36,69.0,74.2,3.19
2006-12-01,67.5,15.75,135.12,139.28,1.64,2.26,72.1,70.2,2.85
2007-01-01,69.5,15.5,134.5,138.52,1.28,1.63,72.8,73.4,3.81
2007-02-01,67.9,15.5,133.6,137.48,1.43,2.07,74.3,74.8,3.29
2007-03-01,68.7,15.5,134.6,138.4,1.42,2.03,74.5,70.5,3.26
2007-04-01,70.6,15.5,135.99,139.72,1.2,1.73,77.0,74.6,3.8
2007-05-01,69.4,15.25,133.52,137.07,1.24,1.54,78.0,71.2,2.99
2007-06-01,70.8,15.25,134.27,137.72,1.33,1.54,73.3,71.6,3.0
2007-07-01,72.5,15.25,130.62,133.87,1.2,1.46,79.1,70.2,2.25
2007-08-01,72.2,15.25,132.3,135.48,1.47,1.96,74.2,81.8,2.53
2007-09-01,73.1,15.25,130.18,133.2,1.41,1.95,79.6,80.3,2.76
2007-10-01,74.6,15.0,129.25,132.14,1.2,1.19,80.3,81.3,1.72
2007-11-01,75.0,15.0,129.83,132.63,1.56,2.05,74.1,91.2,2.33
2007-12-01,75.5,15.0,132.03,134.77,1.63,2.18,80.1,89.1,2.17
2008-01-01,75.7,15.0,131.29,133.9,1.53,1.97,79.2,97.6,2.02
2008-02-01,76.5,14.25,129.91,132.39,1.42,2.11,79.1,95.7,1.9
2008-03-01,76.2,13.5,127.09,129.4,1.62,2.22,85.4,102.3,1.06
2008-04-01,76.9,13.0,128.48,130.71,1.65,2.42,80.6,111.6,1.0
2008-05-01,76.3,12.25,128.74,130.87,1.57,2.05,80.8,117.9,-0.59
2008-06-01,76.7,11.5,128.15,130.17,1.34,1.94,83.8,120.9,-0.65
2008-07-01,76.2,10.75,125.0,126.86,1.58,2.39,86.1,124.7,-1.21
2008-08-01,77.1,10.0,125.88,127.64,1.78,2.6,84.5,113.3,-2.24
2008-09-01,76.7,9.25,126.58,128.25,1.4,1.67,88.6,98.9,-1.93
2008-10-01,76.6,8.5,126.98,128.54,1.98,2.6,87.5,90.3,-1.9
2008-11-01,77.9,8.0,122.86,124.27,1.43,1.85,80.9,80.3,-3.42
2008-12-01,78.0,7.25,125.2,126.53,1.55,2.16,86.0,74.0,-3.75
2009-01-01,78.6,6.5,125.19,126.42,1.41,2.01,86.5,61.0,-4.46
2009-02-01,78.0,6.75,125.53,126.66,1.63,2.03,90.2,57.7,-4.05
2009-03-01,79.0,7.0,124.69,125.71,1.24,1.67,82.8,67.0,-3.77
2009-04-01,79.4,7.25,123.91,124.82,1.52,1.68,97.6,67.8,-2.55
2009-05-01,79.7,7.5,121.42,122.2,1.43,2.19,93.1,70.0,-2.09
2009-06-01,79.0,7.75,119.29,119.96,1.72,2.23,93.0,76.8,-0.03
2009-07-01,80.1,8.0,120.72,121.3,1.94,2.63,96.7,81.1,-0.05
2009-08-01,80.6,8.25,121.98,122.47,1.89,2.5,100.7,81.1,0.6
